x,y,z
7,27,32
7,28,31
7,28,32
7,28,33
7,28,34
7,29,31
7,29,32
7,29,33
7,29,34
7,29,35
7,30,30
7,30,31
7,30,32
7,30,33
7,30,34
7,30,35
7,30,36
7,31,30
7,31,31
7,31,32
7,31,33
7,31,34
7,31,35
7,31,36
7,32,30
7,32,31
7,32,32
7,32,33
7,32,34
7,32,35
7,32,36
7,33,30
7,33,31
7,33,32
7,33,33
7,33,34
7,33,35
7,33,36
7,34,36
8,26,35
8,27,32
8,27,33
8,27,34
8,27,35
8,27,36
8,28,31
8,28,32
8,28,33
8,28,34
8,28,35
8,28,36
8,29,31
8,29,32
8,29,33
8,29,34
8,29,35
8,29,36
8,29,37
8,30,30
8,30,31
8,30,32
8,30,33
8,30,34
8,30,35
8,30,36
8,30,37
8,30,38
8,31,30
8,31,31
8,31,32
8,31,33
8,31,34
8,31,35
8,31,36
8,31,37
8,31,38
8,32,30
8,32,31
8,32,32
8,32,33
8,32,34
8,32,35
8,32,36
8,32,37
8,32,38
8,33,31
8,33,32
8,33,33
8,33,34
8,33,35
8,33,36
8,33,37
8,33,38
8,34,35
8,34,36
8,34,37
8,34,38
9,26,35
9,26,36
9,26,37
9,26,38
9,27,32
9,27,33
9,27,34
9,27,35
9,27,36
9,27,37
9,27,38
9,27,39
9,28,31
9,28,32
9,28,33
9,28,34
9,28,35
9,28,36
9,28,37
9,28,38
9,28,39
9,29,31
9,29,32
9,29,33
9,29,34
9,29,35
9,29,36
9,29,37
9,29,38
9,29,39
9,29,40
9,30,30
9,30,31
9,30,32
9,30,33
9,30,34
9,30,35
9,30,36
9,30,37
9,30,38
9,30,39
9,30,40
9,31,31
9,31,32
9,31,33
9,31,34
9,31,35
9,31,36
9,31,37
9,31,38
9,31,39
9,31,40
9,32,31
9,32,32
9,32,33
9,32,34
9,32,35
9,32,36
9,32,37
9,32,38
9,32,39
9,32,40
9,33,32
9,33,33
9,33,34
9,33,35
9,33,36
9,33,37
9,33,38
9,33,39
9,33,40
9,34,34
9,34,35
9,34,36
9,34,37
9,34,38
9,34,39
9,34,40
9,44,24
9,44,25
9,44,26
9,45,23
9,45,24
9,45,25
9,45,26
9,45,27
9,45,28
9,45,29
9,46,23
9,46,24
9,46,25
9,46,26
9,46,27
9,46,28
9,46,29
9,46,30
9,47,25
9,47,26
9,47,27
9,47,28
9,47,29
9,47,30
10,24,20
10,26,36
10,26,37
10,26,38
10,26,39
10,26,40
10,27,33
10,27,34
10,27,35
10,27,36
10,27,37
10,27,38
10,27,39
10,27,40
10,28,32
10,28,33
10,28,34
10,28,35
10,28,36
10,28,37
10,28,38
10,28,39
10,28,40
10,29,31
10,29,32
10,29,33
10,29,34
10,29,35
10,29,36
10,29,37
10,29,38
10,29,39
10,29,40
10,30,31
10,30,32
10,30,33
10,30,34
10,30,35
10,30,36
10,30,37
10,30,38
10,30,39
10,30,40
10,30,41
10,31,31
10,31,32
10,31,33
10,31,34
10,31,35
10,31,36
10,31,37
10,31,38
10,31,39
10,31,40
10,31,41
10,32,32
10,32,33
10,32,34
10,32,35
10,32,36
10,32,37
10,32,38
10,32,39
10,32,40
10,32,41
10,33,33
10,33,34
10,33,35
10,33,36
10,33,37
10,33,38
10,33,39
10,33,40
10,33,41
10,44,24
10,44,25
10,44,26
10,44,27
10,44,28
10,44,29
10,45,23
10,45,24
10,45,25
10,45,26
10,45,27
10,45,28
10,45,29
10,45,30
10,46,22
10,46,23
10,46,24
10,46,25
10,46,26
10,46,27
10,46,28
10,46,29
10,46,30
10,46,31
10,47,23
10,47,24
10,47,25
10,47,26
10,47,27
10,47,28
10,47,29
10,47,30
10,47,31
10,48,24
10,48,25
10,48,26
10,48,27
11,21,13
11,21,14
11,22,11
11,22,12
11,22,13
11,22,14
11,22,15
11,23,11
11,23,12
11,23,13
11,23,14
11,23,19
11,24,19
11,24,20
11,25,20
11,25,21
11,26,38
11,26,39
11,26,40
11,26,41
11,27,34
11,27,35
11,27,36
11,27,37
11,27,38
11,27,39
11,27,40
