x,y
7,27
7,28
7,28
7,28
7,28
7,29
7,29
7,29
7,29
7,29
7,30
7,30
7,30
7,30
7,30
7,30
7,30
7,31
7,31
7,31
7,31
7,31
7,31
7,31
7,32
7,32
7,32
7,32
7,32
7,32
7,32
7,33
7,33
7,33
7,33
7,33
7,33
7,33
7,34
8,26
8,27
8,27
8,27
8,27
8,27
8,28
8,28
8,28
8,28
8,28
8,28
8,29
8,29
8,29
8,29
8,29
8,29
8,29
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,31
8,31
8,31
8,31
8,31
8,31
8,31
8,31
8,31
8,32
8,32
8,32
8,32
8,32
8,32
8,32
8,32
8,32
8,33
8,33
8,33
8,33
8,33
8,33
8,33
8,33
8,34
8,34
8,34
8,34
9,26
9,26
9,26
9,26
9,27
9,27
9,27
9,27
9,27
9,27
9,27
9,27
9,28
9,28
9,28
9,28
9,28
9,28
9,28
9,28
9,28
9,29
9,29
9,29
9,29
9,29
9,29
9,29
9,29
9,29
9,29
9,30
9,30
9,30
9,30
9,30
9,30
9,30
9,30
9,30
9,30
9,30
9,31
9,31
9,31
9,31
9,31
9,31
9,31
9,31
9,31
9,31
9,32
9,32
9,32
9,32
9,32
9,32
9,32
9,32
9,32
9,32
9,33
9,33
9,33
9,33
9,33
9,33
9,33
9,33
9,33
9,34
9,34
9,34
9,34
9,34
9,34
9,34
9,44
9,44
9,44
9,45
9,45
9,45
9,45
9,45
9,45
9,45
9,46
9,46
9,46
9,46
9,46
9,46
9,46
9,46
9,47
9,47
9,47
9,47
9,47
9,47
10,24
10,26
10,26
10,26
10,26
10,26
10,27
10,27
10,27
10,27
10,27
10,27
10,27
10,27
10,28
10,28
10,28
10,28
10,28
10,28
10,28
10,28
10,28
10,29
10,29
10,29
10,29
10,29
10,29
10,29
10,29
10,29
10,29
10,30
10,30
10,30
10,30
10,30
10,30
10,30
10,30
10,30
10,30
10,30
10,31
10,31
10,31
10,31
10,31
10,31
10,31
10,31
10,31
10,31
10,31
10,32
10,32
10,32
10,32
10,32
10,32
10,32
10,32
10,32
10,32
10,33
10,33
10,33
10,33
10,33
10,33
10,33
10,33
10,33
10,44
10,44
10,44
10,44
10,44
10,44
10,45
10,45
10,45
10,45
10,45
10,45
10,45
10,45
10,46
10,46
10,46
10,46
10,46
10,46
10,46
10,46
10,46
10,46
10,47
10,47
10,47
10,47
10,47
10,47
10,47
10,47
10,47
10,48
10,48
10,48
10,48
11,21
11,21
11,22
11,22
11,22
11,22
11,22
11,23
11,23
11,23
11,23
11,23
11,24
11,24
11,25
11,25
11,26
11,26
11,26
11,26
11,27
11,27
11,27
11,27
11,27
11,27
11,27
11,27
11,27
11,28
11,28
11,28
11,28
11,28
11,28
11,28
11,28
11,28
11,28
11,28
11,29
11,29
11,29
11,29
11,29
11,29
11,29
11,29
11,29
11,29
11,29
11,29
11,30
11,30
11,30
11,30
11,30
11,30
11,30
11,30
11,30
11,30
11,30
11,30
11,31
11,31
